step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
35,235,2828,4657,3447,709,2758,4336,3366,590,70,321,81,119,48.0,412.0,389.0,88.0,5.0,4.0,4.1,4.9,34.0,34.0,40.0,36.0,0.45251843333244324,0.2613010108470917,0.9490934610366821,-0.9555184841156006
36,236,2969,4603,3456,688,2808,4333,3374,585,161,270,82,103,159.0,318.0,390.0,70.0,4.8,4.5,4.3,4.9,34.0,35.0,40.0,36.0,0.9465650320053101,-0.36079901456832886,0.42515525221824646,-0.14100125432014465
37,237,3026,4679,3519,585,2808,4333,3459,493,218,346,60,92,256.0,476.0,246.0,58.0,4.5,4.5,4.5,4.6,34.0,35.0,41.0,36.0,0.7672632336616516,0.651279091835022,0.6799161434173584,-0.6913024187088013
38,238,2922,4744,3502,650,2808,4333,3459,493,114,411,43,157,91.0,620.0,165.0,135.0,4.7,4.2,4.0,5.0,34.0,35.0,41.0,36.0,-0.6982706785202026,0.8174795508384705,-0.11465045064687729,0.43580058217048645
39,239,3046,4733,3384,739,2808,4334,3373,545,238,399,11,194,285.0,602.0,32.0,189.0,4.6,4.3,4.6,4.7,34.0,36.0,40.0,36.0,0.8294410109519958,0.2548303008079529,-0.7868579626083374,0.5972998142242432
40,240,3159,4722,3240,857,2854,4331,3227,671,305,391,13,186,417.0,575.0,35.0,164.0,4.1,4.7,4.6,4.7,34.0,36.0,40.0,36.0,0.9017980098724365,0.4083063304424286,-0.9650123119354248,0.7883872985839844
41,241,3045,4647,3282,717,2853,4331,3237,660,192,316,45,57,205.0,412.0,176.0,33.0,5.0,4.6,4.5,5.0,34.0,37.0,40.0,36.0,-0.7611319422721863,0.7778613567352295,0.2830533981323242,-0.9366832375526428
42,242,2946,4570,3213,763,2853,4331,3206,662,93,239,7,101,68.0,272.0,25.0,71.0,5.0,4.8,5.0,5.1,35.0,37.0,40.0,36.0,-0.664082944393158,-0.5196772813796997,-0.4641833007335663,0.31077712774276733
43,243,2832,4682,3069,652,2768,4393,3068,651,64,289,1,1,41.0,368.0,16.0,12.0,5.1,4.8,5.0,5.2,35.0,37.0,40.0,36.0,-0.764519453048706,0.8761513233184814,-0.9647765755653381,-0.7418104410171509
44,244,2952,4746,3045,623,2769,4393,3046,623,183,353,-1,0,192.0,498.0,0.0,0.0,5.0,4.8,4.5,4.9,35.0,37.0,40.0,36.0,0.8027936816215515,0.6495058536529541,-0.8177635073661804,-0.9799270033836365
