episode,episode_reward,coverage,steps,termination_reason,terminated,truncated,coverage_reward_sum,current_reward_sum,current_change_penalty_sum,hardware_error_penalty_sum,max_current,hardware_error,hardware_error_ids
111,0.599999706,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,2.94E-07,0,15,FALSE,
112,1.099970612,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.94E-05,0,19,FALSE,
113,1.0999856,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,1.44E-05,0,40,FALSE,
114,1.09424,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.00576,0,420,FALSE,
115,0.59387791,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,0.00612209,0,14,FALSE,
116,1.099692767,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000307233,0,83,FALSE,
117,0.599679967,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,0.000320033,0,16,FALSE,
118,1.099972539,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.75E-05,0,14,FALSE,
119,1.099976196,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.38E-05,0,13,FALSE,
120,0.599984196,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,1.58E-05,0,16,FALSE,
121,1.0999744,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.56E-05,0,15,FALSE,
122,0.5999744,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,2.56E-05,0,15,FALSE,
123,1.099972539,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.75E-05,0,16,FALSE,
124,1.099976196,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.38E-05,0,17,FALSE,
125,1.099972539,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.75E-05,0,15,FALSE,
126,1.09996,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,4.00E-05,0,21,FALSE,
127,1.0999856,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,1.44E-05,0,16,FALSE,
128,1.093000196,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.006999804,0,447,FALSE,
129,1.0930304,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.0069696,0,15,FALSE,
130,0.599976196,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,2.38E-05,0,15,FALSE,
131,1.099979592,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.04E-05,0,13,FALSE,
132,0.599976196,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,2.38E-05,0,15,FALSE,
133,0.599984196,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,1.58E-05,0,14,FALSE,
134,1.099741355,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000258645,0,75,FALSE,
135,0.599741355,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,0.000258645,0,17,FALSE,
136,1.099939624,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,6.04E-05,0,30,FALSE,
137,1.099545339,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000454661,0,111,FALSE,
138,1.099497927,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000502073,0,15,FALSE,
139,1.099986939,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,1.31E-05,0,14,FALSE,
140,1.099976196,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.38E-05,0,13,FALSE,
141,1.0999936,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,6.40E-06,0,14,FALSE,
142,1.099976196,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.38E-05,0,14,FALSE,
143,1.0999744,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.56E-05,0,14,FALSE,
144,1.099785763,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000214237,0,67,FALSE,
145,1.094212539,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.005787461,0,411,FALSE,
146,1.094931069,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.005068931,0,40,FALSE,
147,1.099908278,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,9.17E-05,0,18,FALSE,
148,1.095861682,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.004138318,0,343,FALSE,
149,1.0966144,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.0033856,0,103,FALSE,
150,0.599545339,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,0.000454661,0,15,FALSE,
151,1.099984196,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,1.58E-05,0,15,FALSE,
152,1.099529796,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000470204,0,106,FALSE,
153,1.099545339,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000454661,0,18,FALSE,
154,1.099995298,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,4.70E-06,0,13,FALSE,
155,0.599984196,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,1.58E-05,0,14,FALSE,
156,1.099764082,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000235918,0,72,FALSE,
157,0.599764082,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,0.000235918,0,15,FALSE,
158,1.099939624,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,6.04E-05,0,30,FALSE,
159,1.0999424,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,5.76E-05,0,14,FALSE,
160,0.5999856,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,1.44E-05,0,15,FALSE,
161,1.099741355,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000258645,0,75,FALSE,
162,1.099741355,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000258645,0,14,FALSE,
163,1.0999744,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.56E-05,0,14,FALSE,
164,1.099982727,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,1.73E-05,0,14,FALSE,
165,1.099976196,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.38E-05,0,14,FALSE,
73,1.0948016,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.0051984,0,53,FALSE,
74,1.099936784,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,6.32E-05,0,12,FALSE,
75,1.09682142,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.00317858,0,324,FALSE,
76,1.0961584,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.0038416,0,19,FALSE,
77,1.096180767,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.003819233,0,353,FALSE,
78,1.099505992,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000494008,0,230,FALSE,
79,1.09850462,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.00149538,0,65,FALSE,
80,1.099835396,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000164604,0,12,FALSE,
81,1.0999744,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,2.56E-05,0,28,FALSE,
82,1.09985342,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.00014658,0,67,FALSE,
83,1.09985342,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.00014658,0,21,FALSE,
84,1.099995298,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,4.70E-06,0,17,FALSE,
85,1.099387135,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000612865,0,149,FALSE,
86,1.099174498,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000825502,0,16,FALSE,
87,1.098821224,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.001178776,0,180,FALSE,
88,1.09921551,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.00078449,0,133,FALSE,
89,1.09936911,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.00063089,0,191,FALSE,
90,1.096379135,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.003620865,0,348,FALSE,
91,0.595768163,0.000138889,1,out_of_bounds,TRUE,FALSE,0.5,0.1,0.004231837,0,14,FALSE,
92,1.095481339,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.004518661,0,360,FALSE,
93,1.096045584,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.003954416,0,12,FALSE,
94,1.093060539,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.006939461,0,449,FALSE,
95,1.0990784,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.0009216,0,461,FALSE,
96,1.092508049,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.007491951,0,275,FALSE,
97,1.098087706,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.001912294,0,306,FALSE,
98,1.098906482,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.001093518,0,322,FALSE,
99,1.09655102,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.00344898,0,49,FALSE,
100,1.099992653,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,7.35E-06,0,48,FALSE,
101,1.099341584,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000658416,0,190,FALSE,
102,1.098988539,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.001011461,0,14,FALSE,
103,0.596068278,0.000138889,1,out_of_bounds,TRUE,FALSE,0.5,0.1,0.003931722,0,341,FALSE,
104,1.095931135,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.004068865,0,21,FALSE,
105,0.59999791,0.000138889,1,out_of_bounds,TRUE,FALSE,0.5,0.1,2.09E-06,0,13,FALSE,
106,1.096,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.004,0,337,FALSE,
107,1.0995376,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.0004624,0,417,FALSE,
