episode,total_reward,coverage,steps,termination_reason,terminated,truncated,coverage_reward_sum,current_reward_sum,current_change_penalty_sum,hardware_error_penalty_sum,tension_penalty_sum,safety_penalty_sum,max_current,safety_interventions,hardware_error,hardware_error_ids,current_aware_scaling_count,temperature_high_count,temperature_critical_count,voltage_low_count,voltage_critical_count,tension_safety_count,opposing_motors_count,tension_too_low_count,high_horizontal_current_count,high_vertical_current_count,single_motor_over_current_count,position_limit_pull_count,position_limit_release_count,motor_stuck_count,safety_penalty_current_aware_scaling,safety_penalty_temperature_high,safety_penalty_temperature_critical,safety_penalty_voltage_low,safety_penalty_voltage_critical,safety_penalty_tension_safety,safety_penalty_opposing_motors,safety_penalty_tension_too_low,safety_penalty_high_horizontal_current,safety_penalty_high_vertical_current,safety_penalty_single_motor_over_current,safety_penalty_position_limit_pull,safety_penalty_position_limit_release,safety_penalty_motor_stuck
21,191.27211059539323,0.00931174089068826,300,max_steps,False,True,91.0,150.0,-0.28720000000000057,0.0,0.0,-49.44068940460681,164.0,370,False,,0,0,0,0,0,0,1,184,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08947301745414733,-49.35121638715266,0.0,0.0,0.0,0.0,0.0,0.0
22,252.18390189631293,0.01568825910931174,292,out_of_bounds,True,False,154.0,146.0,-0.254,0.0,0.0,-46.56209810368716,18.0,376,False,,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.56209810368716,0.0,0.0,0.0,0.0,0.0,0.0
23,8.309672599107879,0.000708502024291498,11,out_of_bounds,True,False,6.0,5.5,-0.0074857142857142865,0.0,0.0,-2.182841686606407,32.0,20,False,,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.182841686606407,0.0,0.0,0.0,0.0,0.0,0.0
24,3.341741734637533,0.0004048582995951417,6,out_of_bounds,True,False,3.0,3.0,-0.0037714285714285714,0.0,0.0,-1.6544868367910381,14.0,12,False,,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6544868367910381,0.0,0.0,0.0,0.0,0.0,0.0
25,8.769245648060526,0.000708502024291498,9,out_of_bounds,True,False,6.0,4.5,-0.01542857142857143,0.0,0.0,-0.7153257805109023,104.0,6,False,,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7153257805109023,0.0,0.0,0.0,0.0,0.0,0.0
26,11.280783814692496,0.0009109311740890688,13,out_of_bounds,True,False,8.0,6.5,-0.007600000000000001,0.0,0.0,-2.2116161853075025,36.0,18,False,,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2116161853075025,0.0,0.0,0.0,0.0,0.0,0.0
27,80.98573440139633,0.004554655870445344,102,out_of_bounds,True,False,44.0,51.0,-0.0991428571428571,0.0,0.0,-12.915122741460797,69.0,102,False,,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.915122741460797,0.0,0.0,0.0,0.0,0.0,0.0
28,-0.7696042847633362,0.00010121457489878542,1,out_of_bounds,True,False,0.0,0.5,0.0,0.0,0.0,-0.26960428476333614,24.0,2,False,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26960428476333614,0.0,0.0,0.0,0.0,0.0,0.0
1,42.47086553903945,0.003137651821862348,91,out_of_bounds,True,False,30.0,29.499999999999986,-0.4610285714285715,0.0,-5.1063,-10.461805889531966,645.0,136,False,,17,0,0,0,0,0,0,15,35,0,1,0,0,0,-0.5723899859935044,0.0,0.0,0.0,0.0,0.0,0.0,-2.966151522696018,-6.8645473681390285,0.0,-0.058717012703418725,0.0,0.0,0.0
1,-36.18149344551656,0.004352226720647773,300,max_steps,False,True,42.0,7.5999999999999535,-2.353828571428571,0.0,-30.951,-52.47666487408802,701.0,552,False,,13,13,0,0,0,0,7,4,196,42,1,0,0,0,-0.376948363520205,-0.8403574823401867,0.0,0.0,0.0,0.0,-1.2049475258588789,-1.0383310747146606,-39.73288223538548,-9.078503362089396,-0.20469483017921447,0.0,0.0,0.0
2,8.384436526794094,0.0016194331983805667,37,out_of_bounds,True,False,15.0,6.5,-0.14188571428571428,0.0,-3.6212999999999997,-8.35237775892019,512.0,74,False,,0,0,4,0,0,0,0,0,33,0,0,0,0,0,0.0,0.0,-0.69531901627779,0.0,0.0,0.0,0.0,0.0,-7.657058742642401,0.0,0.0,0.0,0.0,0.0
3,21.16062415943122,0.004757085020242915,213,observation_failed,True,False,46.0,34.5000000000001,-1.449828571428571,0.0,-18.776699999999988,-39.112847269140154,864.0,426,False,,0,77,7,1,0,0,2,7,92,22,5,0,0,0,0.0,-7.900728164426986,-0.8159271463751792,-0.23020728826522827,0.0,0.0,-0.40097333371639243,-1.7777545300126072,-20.324474687129253,-6.650203870236873,-1.0125782489776611,0.0,0.0,0.0
1,126.1359551601661,0.00597165991902834,300,max_steps,False,True,58.0,102.80000000000014,-2.6194285714285717,0.0,-11.964899999999998,-20.07971626840533,704.0,382,False,,78,0,0,9,1,0,14,12,32,34,2,0,0,9,-2.061308245360851,0.0,0.0,-0.8499531580135227,-0.0977613016963005,0.0,-1.7103375747799872,-2.3605080047249793,-5.602041993290185,-6.644797486066816,-0.10855638485401868,0.0,0.0,-0.6444521196186543
2,-0.20909821167700032,0.003036437246963563,300,max_steps,False,True,29.0,56.40000000000002,-2.0776000000000003,0.0,-28.321199999999994,-55.21029821167699,775.0,590,False,,9,47,14,7,0,0,7,2,14,193,1,0,0,1,-0.4800150041468441,-3.7393827224615963,-3.0519509747624403,-1.629144701361656,0.0,0.0,-1.2277871507406233,-0.4554188847541809,-3.275930624455214,-40.854742364585405,-0.3668389785289764,0.0,0.0,-0.12908680588006974
3,77.87490165353013,0.004554655870445344,300,max_steps,False,True,44.0,110.00000000000011,-2.0812,0.0,-18.100800000000007,-55.943098346469924,624.0,600,False,,0,78,80,11,0,0,7,3,56,65,0,0,0,0,0.0,-7.265239536622541,-12.609346664790067,-2.4388362243771553,0.0,0.0,-1.674358624219894,-0.8262192606925962,-17.76968525499106,-13.359412780776623,0.0,0.0,0.0,0.0
4,173.12839559726112,0.00597165991902834,300,max_steps,False,True,58.0,136.40000000000003,-1.9969142857142854,0.0,-3.7362000000000006,-15.538490117024628,649.0,308,False,,56,20,0,1,0,0,7,43,19,0,0,0,0,8,-1.2588853077962994,-0.39086933741345997,0.0,-0.12349094599485397,0.0,0.0,-0.7624539953470231,-8.827920679450035,-3.1645226433873175,0.0,0.0,0.0,0.0,-1.010347207635641
5,149.41895133500824,0.006781376518218624,300,max_steps,False,True,66.0,115.60000000000001,-2.079999999999999,0.0,-8.949000000000003,-21.152048664991746,633.0,512,False,,40,129,0,1,0,0,11,15,50,3,2,0,0,5,-1.7585805417969818,-3.3950653818668792,0.0,-0.18834833204746246,0.0,0.0,-1.305701335966587,-3.1254918059706682,-9.900009785965084,-0.6617509603500366,-0.2078883236646652,0.0,0.0,-0.6092121973633766
6,39.17923921045269,0.0020242914979757085,136,out_of_bounds,True,False,19.0,44.0,-1.0478285714285718,0.0,-5.736299999999999,-16.036632218118754,622.0,252,False,,21,62,0,1,0,0,6,0,33,0,2,0,0,1,-1.0998870084993542,-5.235350366681816,0.0,-0.3314233064651489,0.0,0.0,-1.3658782911300658,0.0,-7.7731997989118105,0.0,-0.19883556358516216,0.0,0.0,-0.032057882845401765
7,5.349140763177191,0.0004048582995951417,9,out_of_bounds,True,False,3.0,4.5,-0.02377142857142857,0.0,0.0,-1.127087808251381,141.0,18,False,,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0.0,-0.29990122318267814,0.0,0.0,0.0,0.0,0.0,-0.8271865850687027,0.0,0.0,0.0,0.0,0.0,0.0
8,47.69269125550304,0.0027327935222672063,62,out_of_bounds,True,False,26.0,26.999999999999996,-0.39451428571428576,0.0,-0.5045999999999999,-3.408194458782672,620.0,122,False,,0,51,0,0,0,0,1,7,1,0,1,0,0,0,0.0,-1.2104355916380887,0.0,0.0,0.0,0.0,-0.13907757818698882,-1.5227749979496001,-0.3251669883728027,0.0,-0.21073930263519286,0.0,0.0,0.0
