timestamp,action_count,motor_id,target_position,present_position,present_current_mA,present_voltage_V,temperature_C,torque_enabled,present_pwm,present_velocity,hardware_error_status,hardware_error_hex,packet_error,packet_error_hex,hardware_error_decoded
2026-08-14T16:57:11.713571,6,19,2070,2072,-10,5.1000000000000005,24,1,-2,0,0,0x00,,None,No hardware error
2026-08-14T16:57:12.993649,7,16,3635,3656,-16,5.2,22,1,-32,0,0,0x00,,None,No hardware error
2026-08-14T16:57:13.121569,7,17,-145,4294967152,0,5.2,22,1,0,0,0,0x00,,None,No hardware error
2026-08-14T16:57:13.253167,7,18,3138,3130,13,5.2,21,1,12,1,0,0x00,,None,No hardware error
2026-08-14T16:57:13.377527,7,19,2093,2089,11,5.1000000000000005,24,1,7,1,0,0x00,,None,No hardware error
2026-08-14T16:57:14.673532,8,16,3235,3287,-32,5.1000000000000005,22,1,-80,0,0,0x00,,None,No hardware error
2026-08-14T16:57:14.801516,8,17,-545,4294966754,-12,5.2,22,1,-5,0,0,0x00,,None,No hardware error
2026-08-14T16:57:14.929574,8,18,2870,2887,-16,5.1000000000000005,21,1,-27,0,0,0x00,,None,No hardware error
2026-08-14T16:57:15.057635,8,19,2175,2172,11,5.1000000000000005,24,1,6,1,0,0x00,,None,No hardware error
2026-08-14T16:57:16.337436,9,16,3635,3610,17,5.2,22,1,40,1,0,0x00,,None,No hardware error
2026-08-14T16:57:16.465379,9,17,-653,4294966654,-13,5.2,22,1,-16,0,0,0x00,,None,No hardware error
2026-08-14T16:57:16.593313,9,18,3270,3262,12,5.1000000000000005,21,1,12,1,0,0x00,,None,No hardware error
2026-08-14T16:57:16.721346,9,19,2047,2049,-10,5.1000000000000005,24,1,-4,0,0,0x00,,None,No hardware error
2026-08-14T16:57:18.001391,10,16,3786,3765,16,5.2,22,1,32,1,0,0x00,,None,No hardware error
2026-08-14T16:57:18.129362,10,17,-883,4294966425,-14,5.2,22,1,-19,1,0,0x00,,None,No hardware error
2026-08-14T16:57:18.257369,10,18,3358,3353,12,5.1000000000000005,21,1,7,1,0,0x00,,None,No hardware error
2026-08-14T16:57:18.385310,10,19,2447,2447,0,5.1000000000000005,24,1,0,0,0,0x00,,None,No hardware error
2026-08-14T16:57:19.665417,11,16,4186,4183,11,5.2,22,1,4,1,0,0x00,,None,No hardware error
2026-08-14T16:57:19.793295,11,17,-955,4294966344,-12,5.2,22,1,-5,0,0,0x00,,None,No hardware error
2026-08-14T16:57:19.921274,11,18,3196,3205,-13,5.2,21,1,-15,0,0,0x00,,None,No hardware error
2026-08-14T16:57:20.049256,11,19,2332,2335,-11,5.2,24,1,-5,0,0,0x00,,None,No hardware error
2026-08-14T16:57:21.329258,12,16,4584,4494,66,5.1000000000000005,22,1,152,1,0,0x00,,None,No hardware error
2026-08-14T16:57:21.457174,12,17,-555,4294966655,62,5.0,22,1,134,1,0,0x00,,None,No hardware error
2026-08-14T16:57:21.585150,12,18,3128,3138,-13,5.0,21,1,-16,0,0,0x00,,None,No hardware error
2026-08-14T16:57:21.713248,12,19,2041,2045,-10,5.0,24,1,-7,0,0,0x00,,None,No hardware error
2026-08-14T16:57:22.993188,13,16,4829,4780,30,5.1000000000000005,22,1,78,0,0,0x00,,None,No hardware error
2026-08-14T16:57:23.121073,13,17,-955,4294966330,14,5.2,22,1,17,0,0,0x00,,None,No hardware error
2026-08-14T16:57:23.249076,13,18,2728,2743,-14,5.1000000000000005,21,1,-22,0,0,0x00,,None,No hardware error
2026-08-14T16:57:23.377185,13,19,1672,1675,-10,5.1000000000000005,24,1,-5,0,0,0x00,,None,No hardware error
2026-08-14T16:57:24.657065,14,16,5018,4793,249,4.5,22,1,351,1,0,0x00,,None,No hardware error
2026-08-14T16:57:24.785020,14,17,-665,4294966366,356,4.5,22,1,415,1,0,0x00,,None,No hardware error
2026-08-14T16:57:24.913056,14,18,2892,2873,14,4.6000000000000005,21,1,31,1,0,0x00,,None,No hardware error
2026-08-14T16:57:25.041013,14,19,1782,1777,10,4.5,24,1,9,1,0,0x00,,None,No hardware error
2026-08-14T16:57:26.320982,15,16,5418,,,,,,,,,None,,None,No hardware status available
2026-08-14T16:57:26.452197,15,17,-265,4294966979,32,5.2,22,1,81,0,0,0x00,,None,No hardware error
2026-08-14T16:57:26.576923,15,18,3292,3281,13,5.2,21,1,14,1,0,0x00,,None,No hardware error
2026-08-14T16:57:26.704882,15,19,1943,,,,,,,,,None,,None,No hardware status available
2026-08-14T16:57:27.371671,15,16,5418,,,,,,,,,None,,None,No hardware status available
2026-08-14T16:57:27.488933,15,17,-265,4294966979,32,5.2,22,1,81,0,0,0x00,,None,No hardware error
2026-08-14T16:57:27.617084,15,18,3292,3283,12,5.2,21,1,14,1,0,0x00,,None,No hardware error
2026-08-14T16:57:27.745133,15,19,1943,,,,,,,,,None,,None,No hardware status available
2026-08-14T16:57:27.936783,15,16,5418,,,,,,,,1,0x01,,None,Input voltage error
2026-08-14T16:57:28.064747,15,16,5418,,,,,,,,,None,,None,No hardware status available
2026-08-20T12:56:16.528707,0,16,57,58,6,5.2,22,1,0,0,0,0x00,,None,No hardware error
2026-08-20T12:56:16.657052,0,17,3669,3669,0,5.2,21,1,0,0,0,0x00,,None,No hardware error
2026-08-20T12:56:16.784891,0,18,3283,3283,0,5.2,21,1,0,1,0,0x00,,None,No hardware error
2026-08-20T12:56:16.912819,0,19,2589,2589,0,5.2,23,1,0,1,0,0x00,,None,No hardware error
