episode,total_reward,steps,termination_reason,terminated,truncated,goal_x,goal_y,final_distance_to_goal,goal_reached,distance_reward_sum,velocity_reward_sum,current_change_penalty_sum,hardware_error_penalty_sum,tension_penalty_sum,safety_penalty_sum,max_current,safety_interventions,hardware_error,hardware_error_ids,safety_penalty_current_aware_scaling,safety_penalty_temperature_high,safety_penalty_temperature_critical,safety_penalty_voltage_low,safety_penalty_voltage_critical,safety_penalty_tension_safety,safety_penalty_opposing_motors,safety_penalty_tension_too_low,safety_penalty_high_horizontal_current,safety_penalty_high_vertical_current,safety_penalty_single_motor_over_current,safety_penalty_position_limit_pull,safety_penalty_position_limit_release,safety_penalty_motor_stuck
19,-0.2750956416130066,2,observation_failed,True,False,-0.119,-0.528,0.11040722497384595,False,0.0,0.0,0.0,0.0,0.0,-0.2750956416130066,0.0,2,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27509564,0.0,0.0,0.0,0.0,0.0,0.0
19,-1.0498900352977216,7,out_of_bounds,True,False,-0.119,-0.528,0.5213058658659555,False,0.0,0.19408677285982145,-0.003885714315401856,0.0,0.0,-1.2400911040604115,16.0,4,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2400911,0.0,0.0,0.0,0.0,0.0,0.0
20,19.92354800488651,400,max_steps,False,True,-0.119,-0.528,0.40840045500734246,False,0.0,49.362704393088386,-3.035257202853245,0.0,-4.710899999999999,-21.692999188730028,532.0,257,False,,-0.058732606,0.0,0.0,-0.14744262,0.0,-3.354527,-0.53324217,-13.512036,0.0,0.0,0.0,0.0,0.0,-4.0870156
21,7.585478146645054,110,out_of_bounds,True,False,-0.119,-0.528,0.4967545009397623,False,0.0,13.644151098144581,-0.8876000139280222,0.0,-0.17579999999999998,-4.9952729003853165,525.0,46,False,,-0.001571541,0.0,0.0,0.0,0.0,-0.13730055,0.0,-3.8579676,0.0,0.0,0.0,0.0,0.0,-0.9984332
22,12.555616971735287,213,out_of_bounds,True,False,-0.119,-0.528,0.4992778506580315,False,0.0,25.810436761200528,-1.4161143130622804,0.0,-0.5438999999999999,-11.294805436162278,546.0,116,False,,-0.0070073716,0.0,0.0,0.0,0.0,-0.62170094,-0.04694927,-9.215806,0.0,0.0,0.0,0.0,0.0,-1.4033402
23,5.615620880363881,81,out_of_bounds,True,False,-0.119,-0.528,0.49707454059751666,False,0.0,10.304870595583662,-0.5890857268241234,0.0,-0.0669,-4.033264026977122,502.0,38,False,,0.0,0.0,0.0,0.0,0.0,-0.18603984,0.0,-2.094297,0.0,0.0,0.0,0.0,0.0,-0.7529274
24,7.085390528538078,162,out_of_bounds,True,False,-0.119,-0.528,0.5374722458552634,False,0.0,20.062951427313585,-1.2501143057015724,0.0,-0.8747999999999999,-10.852646652958356,559.0,109,False,,-0.0142880725,0.0,0.0,0.0,0.0,-0.91262996,-0.21521796,-7.7455873,0.0,0.0,0.0,0.0,0.0,-1.964923
25,14.251603116049994,400,max_steps,False,True,-0.119,-0.528,0.4361564829330073,False,0.0,48.356137735990636,-3.3266857800772414,0.0,-2.0465999999999998,-28.73124897739035,579.0,300,False,,-0.0034869376,-1.3841565,0.0,0.0,0.0,-4.7059712,-1.0936885,-17.286707,0.0,0.0,0.0,0.0,0.0,-4.2572355
26,2.3282145560458307,400,max_steps,False,True,-0.119,-0.528,0.5013155456663695,False,0.0,51.49837428807988,-2.9394286207389086,0.0,-7.159500000000001,-39.07123135385336,545.0,400,False,,0.0,-8.877434,0.0,-0.47084838,0.0,-12.278936,-1.4428675,-16.001146,0.0,0.0,0.0,0.0,0.0,0.0
27,2.3209122344762085,111,out_of_bounds,True,False,-0.119,-0.528,0.5513927889862288,False,0.0,12.3147611939575,-0.6978857290232554,0.0,-0.0954,-9.200563275953755,550.0,111,False,,0.0,-1.8148911,0.0,0.0,0.0,-1.1423973,0.0,-6.243274,0.0,0.0,0.0,0.0,0.0,0.0
